Title,Rating,Genre,Actors,Runtime
Death Note: Desu nôto,9.0,"Animation, Crime, Drama","Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",24
Batman: The Animated Series,9.0,"Animation, Action, Adventure","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings",23
Westworld,8.9,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton",62
Black Mirror,8.9,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",60
Stranger Things,8.9,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",51
Friends,8.9,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",22
Narcos,8.9,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",49
House of Cards,8.9,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",51
Seinfeld,8.9,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",22
Arrested Development,8.9,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",22
Gravity Falls,8.9,"Animation, Adventure, Comedy","Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini",23
Only Fools and Horses....,8.9,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",95
Kaubôi bibappu,8.9,"Animation, Action, Adventure","Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",24
Monty Python's Flying Circus,8.9,Comedy,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",30
Pod prikritie,8.9,"Action, Crime, Drama","Ivaylo Zahariev, Zachary Baharov, Vladimir Penev, Marian Valev",60
The Office,8.8,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",22
La casa de papel,8.8,"Action, Crime, Mystery","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous",70
This Is Us,8.8,Drama,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",45
Peaky Blinders,8.8,"Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",60
